transaction_descriptor,store_number,dataset
DOLRTREE 2257 00022574 ROSWELL,2257,train
AUTOZONE #3547,3547,train
TGI FRIDAYS 1485 0000,1485,train
BUFFALO WILD WINGS 003,3,train
J. CREW #568 0,568,train
KRISPY KREME 0040        GREENVILLE   SC,40,train
FIVE GUYS MN 1847 ECOM   612-339-9733 MN,1847,train
CASEYS GEN STORE 2650,2650,train
HUDDLE HOUSE 535,535,train
JAMBA JUICE #1305,1305,train
ANN TAYLOR FACTORY #2202,2202,train
Subway 26824,26824,train
MARSHALLS #0688,688,train
OREILLY AUTO #4681,4681,train
TA #227 BARSTOW REST,227,train
SONIC #3207,3207,train
HY VEE 1040,1040,train
MCDONALD'S F1013,F1013,train
CHEVRON 00207812,207812,train
EXPRESS#0920,920,train
MCDONALD'S F16829,F16829,train
CHEVRON 0208998    Q61,208998,train
STARBUCKS STORE 49134,49134,train
CHEVRON 0302900,302900,train
CIRCLE K 01251,1251,train
NST BEST BUY #479  002610,479,train
HOLIDAY STNSTORE 0354,354,train
DOMINO'S 7430,7430,train
NST ROSS STORE #483280353,483280353,train
MCDONALD'S F5579,F5579,train
NST ROSS STORES #10262660,10262660,train
HOLIDAY STNSTORE 0447,447,train
NST BEST BUY #25   232381,25,train
MEIJER # 196,196,train
SUBWAY        00516260,516260,train
DOMINO'S 6870,6870,train
MARATHON PETRO045518,45518,train
MCDONALD'S F2128,F2128,train
DOLLAR GENERAL #22357,22357,train
SUNOCO 0748361300,748361300,train
MCDONALD'S F3172,F3172,train
DENNY'S #9505,9505,train
THE HOME DEPOT #1407,1407,train
PAPA JOHN'S 01548.COM,1548,train
CIRCLE K # 06524         OCALA        FL,6524,train
AutoZone 6425 711 E MAI,6425,train
THE HOME DEPOT #6853,6853,train
TEXACO 0308296,308296,train
NNT LANE BRYANT 455460,5546,train
HOLIDAY STNSTORE 0142,142,train
NST ROSS STORES #11572299,11572299,train
DOMINO'S 3857,3857,train
WEST MARINE #1327,1327,train
NST BEST BUY #27   002732,27,train
HOLIDAY STNSTORE 0303,303,train
PALAIS ROYAL #24,24,train
MEIJER # 209 128,209,train
DENNY'S #7350 180073,7350,train
NST BEST BUY #1783 532412,1783,train
WAL-MART #1316,1316,train
WALGREENS #4102,4102,train
NST ROSS STORES #11002986,11002986,train
CNS EXPRESS#0098   670753,98,train
NST BEST BUY #1774 532399,1774,train
CIRCLE K 02910,2910,train
NNT SEARS HOMETOWN 231594,2315,train
NST ROSS STORES #10630845,10630845,train
DAIRY QUEEN #42,42,train
HOLIDAY STNSTORE 0437,437,train
NNT FAMOUS FOOTWEAR572264,572264,train
NNT BURLNGTON STORE171793,171793,train
SUBWAY        03312162,3312162,train
JIMMY JOHNS # 4 - ECO,4,train
CVS/PHARMACY #01858 00000,1858,train
MCDONALD'S F26490,F26490,train
JIMMY JOHNS - 974,974,train
NNT FAMOUS FOOTWEAR881706,881706,train
WENDY'S 3626,3626,train
CIRCLE K 06286,6286,train
BIG O TIRES #6255        GRAND JUNCTIOCO,6255,train
NST ROSS STORES #14560807,14560807,train
TACO BELL 739723,739723,train
BOSTON MARKET 0113,113,train
NST ROSS STORES #14782798,14782798,train
SUBWAY 25139             FORT MOJAVE  AZ,25139,train
DENNY'S #9386,9386,train
NST ROSS STORES #12862950,12862950,train
ARBYS #7591 CAMBRIDGE,7591,train
CASEYS GEN STORE 2,2,train
NST BEST BUY #500  970304,500,train
MCDONALD'S F35869MCDONALD'S F35869,F35869,train
NNT FAMOUS FOOTWEAR470811,470811,train
SUNOCO 0374572602,374572602,train
DOMINO'S 9502,9502,train
KFC G020029,G020029,train
DUNKIN #355514,355514,train
THE HOME DEPOT #6828,6828,train
RUE21 #1129 BLUE,1129,train
WM SUPERCENTER #34,34,train
RACETRAC485   00004853,485,train
DEL TACO 833,833,validation
NNT BURLNGTON STORE472605,472605,validation
WENDY'S #05320,5320,validation
DUNKIN #337734 Q35,337734,validation
MCDONALD'S F565          CLARKSVILLE  TN,F565,validation
WALGREENS #13822,13822,validation
QDOBA 2050,2050,validation
TACO BELL 729724,729724,validation
THE HOME DEPOT #0662,662,validation
HOLIDAY STNSTORE 0453,453,validation
NST BEST BUY #235  860244,235,validation
WENDY'S #4215,4215,validation
NST ROSS STORES #13360692,13360692,validation
NNT FAMOUSFOOTWEAR#570903,570903,validation
NST BEST BUY #304  561499,304,validation
NST BEST BUY #380  830230,380,validation
HOLIDAY STNSTORE 0046,46,validation
REGIS SALON 4842,4842,validation
NNT ZUMIEZ #409    581936,409,validation
PIER 1 IMPORTS00008060,806,validation
"LOWES #02282* BRANDON, FL (7679)",2282,validation
WALGREENS #15474,15474,validation
STARBUCKS #08988 MEDFORD,8988,validation
WENDYS #0179,179,validation
ARBYS #7871 THIEF RIVER,7871,validation
NST BEST BUY #387  181855,387,validation
WENDY'S #1970 000001970,1970,validation
HOLIDAY STNSTORE 0256,256,validation
PAPA JOHN'S #295,295,validation
"WENDYS #514 TAMPA, FL (7271)",514,validation
MURPHY7548ATWALMART      LITHIA SPRINGGA,7548,validation
NNT FAMOUS FOOTWEAR830366,830366,validation
QDOBA #291             FORT COLLINS COUS,291,validation
JUSTICE 0407,407,validation
NNT BURLNGTON STORE001491,1491,validation
NNT HIBBETT SPORTS 072473,72473,validation
HARBOR FREIGHT TOOLS 233,233,validation
MCDONALD'S F6297,F6297,validation
ARBY'S 8396,8396,validation
TACO BELL 723832,723832,validation
NNT BURLNGTON STORE460391,460391,validation
JIMMY JOHNS - 13,13,validation
IN N OUT BURGER 284,284,validation
THE CHILDRENS PLACE #1624,1624,validation
"SPEEDWAY 06406 BRADENTO, FL (5243)",6406,validation
BELK #0619 PHIPP,619,validation
NNT SEARS HOMETOWN 000415,4,validation
NST BEST BUY #47   571045,47,validation
SUNOCO 0780350500  QPS,780350500,validation
STOP & SHOP #523,523,validation
KUM & GO #927,927,validation
KROGER #0445,445,validation
PAPA MURPHY'S CA142,CA142,validation
AUTOZONE  2322 1,2322,validation
LOAF N JUG #0167,167,validation
KFC L765004   66850041,L765004,validation
DAIRY QUEEN #11789,11789,validation
SUPERAMERICA 4204,4204,validation
Subway 14639,14639,validation
CHECKERS 687,687,validation
OCHARLEYS206BOWLGR 000000,206,validation
JIMMY JOHNS - 1338,1338,validation
FRESH & EASY #1167       CORONA       CA,1167,validation
DOMINO'S 3162,3162,validation
PIZZA HUT 2989,2989,validation
DUNKIN #346432     Q35,346432,validation
SUNOCO 0013625903,13625903,validation
SUBWAY        00040055,4005,validation
SUBWAY        04016168,4016168,validation
TJMAXX #0452 000000452,452,validation
WENDY'S #4611,4611,validation
WINN-DIXIE #01,1,validation
ROSS STORES #1049,1049,validation
DOMINO'S 1901,1901,validation
JO-ANN STORE #2314,2314,validation
TACO BELL #029071,29071,validation
OLD NAVY #6470,6470,validation
KOHLS 0043 3737 S 27TH,43,validation
LOWE'S #0046,46,validation
MEIJER # 029 233,29,validation
JIMMY JOHNS - 2,2,validation
MACY'S      730,730,validation
NST BEST BUY #421  131953,421,validation
THE HOME DEPOT #1085,1085,validation
CIRCLE K # 23853,23853,validation
SIX 02 46221 SIX 02 46221,46221,validation
AUTOZONE  1563,1563,validation
CIRCLE K 05601,5601,validation
NST BEST BUY #29   871122,29,validation
WAL-MART #5754           WILLIAMSBURG VA,5754,validation
TACO BELL #021103,21103,validation
NST ROSS STORES #17131522,17131522,validation
NST BEST BUY #440  130975,440,validation
WAL-MART #0976 0WINNSBORO 0LA,976,validation
BP#5998869CK ST,5998869,validation
ROSS STORES #15,15,validation
SPRINT STORE #346,346,validation
SPEEDWAY 07134 4343 OL,7134,validation
THE HOME DEPOT #8550,8550,validation
OUTBACK 0315,315,validation
IN-N-OUT BURGER #242,242,test
BP#9442088LIBERTYVILLE B,9442088,test
JCPENNEY 1419,1419,test
ROSS STORES #1019,1019,test
WM SUPERCENTER #38,38,test
TUESDAY MORNING # 0673 06,673,test
IHOP 629                 WHITE HOUSE  TN,629,test
LBOUTLETS#4249 1475 N BUR,4249,test
"WINN DIXIE #2505 VALRICO, FL (3454)",2505,test
BURLINGTON STORES 825,825,test
WM SUPERCENTER #2923,2923,test
BUFFALO WILD WINGS 058 CARSON CITY   NV,58,test
BOB EVANS REST #2039,2039,test
JIMMY JOHNS # 382 - E,382,test
PENSKE TRK LSG 012260,12260,test
AEROPOSTALE # 864,864,test
GIANT 0338,338,test
DOLLAR-GENERAL # DG 011,11,test
NNT ITS FASHION #70360265,70360265,test
BIG LOTS STORES - #4393 0,4393,test
AT&T SPRING MOBILE #62,62,test
OLD NAVY US 7212,7212,test
BP#8644346ES #30 B96,8644346,test
NNT POLO/RL WRENTHA130571,13057,test
CHAMPS 14178,14178,test
CNS GUESS #3220    282163,3220,test
HOMEGOODS #407,407,test
DOLLAR GENERAL #14,14,test
"WINN DIXIE #2454 SEFFNER, FL (1033)",2454,test
NST ROSS STORES #17871401,17871401,test
KANGAROO EXPRESS 3192  SILER CITY    NC,3192,test
NNT SEARS HOMETOWN 862751,8627,test
KANGAROO EXP 1,1,test
NAVY EXCHANGE 050161 0003,50161,test
KANGAROO EXPRESS 3889,3889,test
NST BEST BUY #401  731468,401,test
CASEYS GEN STORE 2597  SLOAN  IA51055,2597,test
PAPA JOHN'S #1253,1253,test
NST BEST BUY #507  762589,507,test
NST ROSS STORE #472831773,472831773,test
NST BEST BUY #277  661145,277,test
NST BEST BUY #59   060251,59,test
NST BEST BUY #48   072393,48,test
NST BEST BUY #231  160037,231,test
WALGREENS #11332,11332,test
NST ROSS STORES #16482149,16482149,test
MCDONALD'S F33735,F33735,test
MCDONALD'S F671,F671,test
MCDONALD'S F11370 0000000,F11370,test
WM SUPERCENTER #50,50,test
BURGER KING #11820 Q07,11820,test
DENNY'S #6619 ON,6619,test
DOMINO'S 6102,6102,test
MCDONALD'S F2383 972-231-3337 TX,F2383,test
TACO BELL #733780,733780,test
NST ROSS STORES #62132001,62132001,test
MCDONALD'S F33124,F33124,test
WALGREENS #15392,15392,test
NNT HIBBETT SPORTS 860977,860977,test
MCDONALD'S F122,F122,test
PAPA JOHN'S #0982,982,test
NST BEST BUY #188  871025,188,test
TACO BELL 15843,15843,test
CIRCLE K #2742643,2742643,test
NNT FAMOUS FOOTWEAR001261,1261,test
EXPRESS#0813,813,test
BURGER KING #7414,7414,test
SUNOCO 039962380,39962380,test
NST BEST BUY #392  080590,392,test
ARCO #66165,66165,test
WAL-MART #0647,647,test
H&R BLOCK #14788,14788,test
"FOOTACTION 57331 TAMPA, FL (2340)",57331,test
7-ELEVEN 34493,34493,test
HOLIDAY STNSTORE 408,408,test
STARBUCKS #10101,10101,test
SUNOCO 0837208800        STATEN ISLANDNY,837208800,test
NST BEST BUY #405  562536,405,test
PANERA BREAD #601128,601128,test
BURGER KING #4633  Q07,4633,test
WAL-MART #1997,1997,test
NST ROSS STORES #21000236,21000236,test
NNT FAMOUS FOOTWEAR730376,730376,test
MARATHON PETRO170928   MIAMI,170928,test
SUNOCO 0104235700  QPS,104235700,test
NNT FAMOUSFOOTWEAR#132427,132427,test
STARBUCKS STORE 11966,11966,test
SUBWAY        03317963,3317963,test
NST BEST BUY #401  000948,401,test
NST BEST BUY #51   672842,51,test
PAPA MURPHY'S UT044 OLO,UT044,test
BP#1003300DANADA SQUS,1003300,test
SUBWAY        00032128,3212,test
TEXACO 00303733,303733,test
THE BUCKLE #513,513,test
MCDONALD'S F2151,F2151,test
NST BEST BUY #1403 332411,1403,test
CVS/PHARMACY #06689,6689,test
BANANA REPUBLIC #8109,8109,test
BOSTON MARKET 0443,443,test
